Iso3,Human Hazard,Infrastructure,Institutional,Natural Hazard,Socio-Economic Vulnerability,Vulnerable Groups,Cluster,0ClusterProb,1ClusterProb,2ClusterProb,3ClusterProb,4ClusterProb,5ClusterProb,6ClusterProb,7ClusterProb,8ClusterProb,9ClusterProb,10ClusterProb,11ClusterProb,12ClusterProb,13ClusterProb,14ClusterProb,15ClusterProb,16ClusterProb,17ClusterProb,18ClusterProb,19ClusterProb
ECU,0.5,3.4,4.6,6.8,3.2,4.0,1,1.5406889750851656e-08,0.9956951308292268,1.2751664378708453e-11,0.0003145644567190131,5.933111088169556e-12,0.0038022462084230132,5.7196358553945146e-12,0.00016482162117720155,5.408606861481672e-12,1.4538387971796398e-06,4.994730816773533e-12,1.3391707582605276e-08,4.42740795848645e-12,2.175418121552338e-05,3.209662013293736e-12,3.0219535854366704e-13,2.309687261567913e-11,3.717384841366517e-21,7.662101231771742e-30,1.5792767709371402e-38
EGY,9.0,3.9,5.3,5.0,3.4,4.2,7,8.619856939114875e-13,9.371622690119405e-09,5.073808991576299e-12,1.0061038878054867e-20,1.2004582706043757e-12,5.950013513384467e-12,1.1605273360337515e-12,0.9999444800588863,1.0976138143352286e-12,5.1689525310011696e-05,1.0138621756490312e-12,3.819797730068176e-06,8.989946085345377e-13,1.7355847345208053e-12,6.521819150806166e-13,5.0442756669953055e-14,1.226755824295145e-09,7.567329148498874e-22,1.5597427886627971e-30,3.2148694989276206e-39
ERI,3.2,7.6,8.1,4.2,6.2,3.0,5,1.0570828658826784e-06,2.2397159177232526e-06,1.481631025659827e-07,1.1250282398283665e-18,1.6475611261525536e-11,0.9999965549074372,1.5543715582649452e-11,4.7764822944634845e-18,1.4696419554401985e-11,3.182360128151737e-14,1.356931562764959e-11,3.4710560415450038e-12,1.2025010137480716e-11,8.212690794211547e-18,8.712835476503007e-12,8.157368034977861e-13,4.533487178907845e-11,1.0076688757805959e-20,2.076960353527832e-29,4.2809343563390517e-38
ESP,1.1,0.6,2.9,4.1,0.6,3.3,3,6.761294520173693e-08,8.84951010226634e-06,5.078050124190264e-06,0.9822109567810123,6.325780077871664e-07,1.3864173755423156e-06,6.090705597086638e-07,4.9038069117158e-07,5.759815713614122e-07,0.005566170730915082,5.319454967460083e-07,7.041433641834863e-08,4.7157229607628527e-07,0.012203501213619938,3.4194151886533167e-07,2.491151828852206e-07,1.6684243996062902e-08,3.9625755343397586e-16,8.167476916786503e-25,1.6834424633232874e-33
EST,0.0,0.9,2.8,0.9,0.8,0.9,3,2.074138661967569e-08,8.758037762298002e-12,5.005623040623183e-12,0.9999998430804843,1.0282863320769743e-10,1.2126244590677415e-07,9.790872203509524e-11,6.653085680315846e-09,9.257569154311311e-11,7.696335366048699e-09,8.548078242884757e-11,3.6838975642399714e-14,7.575833189532827e-11,5.119958667980372e-12,5.490074337804014e-11,1.215377668307206e-11,2.573465646315e-11,6.352293064438334e-20,1.3093051860528072e-28,2.6986791271127493e-37
ETH,9.0,8.2,4.7,4.5,6.4,6.8,11,4.832264091430077e-09,1.6834233852814727e-21,7.842668072973626e-12,2.2488584319623146e-43,1.1445247025599193e-17,3.6559006249730606e-06,1.1006065206910933e-17,3.666449650129617e-13,1.0409312103128787e-17,2.1300115202644045e-19,9.614921703164938e-18,0.9999963392589014,8.525428446464533e-18,7.798624258167346e-21,6.184597147164055e-18,3.2833933974907246e-16,1.8383680135757716e-24,7.175337654219507e-27,1.478947319822651e-35,3.0483376256509393e-44
FIN,0.0,0.9,1.8,0.2,0.2,2.8,3,7.585151439846013e-13,1.8151179382845983e-17,2.915738970313186e-14,0.999999999997577,3.3033496715290034e-14,3.3730458981254654e-13,3.11815027739894e-14,1.296113226226808e-14,2.94804911460113e-14,1.7283494680795194e-17,2.721797425249217e-14,1.9213842738987198e-19,2.4118407089193412e-14,1.0986307119779684e-12,1.7472228786250375e-14,2.4023530023591693e-14,8.880207173694803e-18,2.0198117465437127e-23,4.163142298018621e-32,8.580875828295823e-41
FJI,0.1,3.7,2.5,3.9,3.2,3.5,13,2.8502652052598498e-08,2.0964035799079502e-05,2.247916750268817e-06,0.00020152334828025807,1.3882406091661173e-07,0.038676568789909736,1.3234991027164152e-07,5.335156106071718e-05,1.2514963885562026e-07,2.1049745803484907e-08,1.1556905019495692e-07,6.357439802474329e-05,1.0243747323767603e-07,0.9609777677185847,7.425497870264133e-08,6.50825615432701e-07,2.6132684648361083e-06,8.597882086342142e-17,1.7721555807537247e-25,3.6526848947985683e-34
FRA,0.6,1.0,2.8,3.5,0.4,4.6,3,3.4313010790061714e-13,2.436573049733264e-08,9.357357576916648e-11,0.9742075975009743,3.7001902528670357e-10,3.947596567887423e-09,3.5454817792363034e-10,1.8014466666820896e-08,3.3526124310177073e-10,9.435745588645194e-06,3.095979923579387e-10,3.6082838153883803e-09,2.744222504470262e-10,0.02578291474322068,1.9892724443549295e-10,1.3601049879118243e-10,1.436003935252177e-12,2.3034633492497544e-19,4.747791826453804e-28,9.785928321688265e-37
FSM,0.0,4.9,5.4,4.3,5.6,3.5,5,2.271014853234149e-12,0.00011649635445001176,5.780303664661634e-05,2.346116734604687e-11,6.197648192589073e-09,0.9997390028009998,5.931649849363589e-09,1.2207274311130517e-09,5.6093840830791686e-09,9.776652454542249e-08,5.180503737097701e-09,8.64533854166937e-05,4.592517016185623e-09,2.9895733473419767e-08,3.330038914155147e-09,7.937160101263909e-09,7.673486778619899e-08,3.858887730779981e-18,7.953760424876455e-27,1.6393922111757227e-35
GAB,4.3,5.2,6.8,2.6,4.2,2.4,5,3.315572840516081e-06,1.667508305748671e-05,3.9759458372972164e-08,2.0059798798981286e-07,7.410045723848221e-09,0.9999315651406931,7.055904003210857e-09,3.968021269788479e-05,6.671891613718011e-09,9.877691470767687e-11,6.160955924990933e-09,1.283300091031013e-08,5.460693857655234e-09,6.230904109498904e-08,3.958008923961775e-09,9.589157411868494e-10,8.41071603005173e-06,4.5818702182039726e-18,9.44393839777782e-27,1.946540783868391e-35
